outcome,R,entry_p,exit_p,entry_ts,exit_ts,be_activated,sl_price,tp_price,be_trigger_price,log_events,trade_id,month
BE,-0.2,1.10246,1.10246,2024-08-14 12:03:10.346000+00:00,2024-08-14 12:23:33.202000+00:00,True,1.1042,1.100024,1.101764,"[{'ts': Timestamp('2024-08-14 12:15:39.769000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.10176}]",2218,2024_08
TIME_EXIT,0.7150943396226142,1.09984,1.09596,2024-08-15 12:30:06.119000+00:00,2024-08-15 13:30:00.936000+00:00,True,1.10408,1.093904,1.098144,"[{'ts': Timestamp('2024-08-15 12:30:24.724000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09814}]",2219,2024_08
BE,-0.2,1.09986,1.09986,2024-08-16 14:00:06.042000+00:00,2024-08-16 14:00:48.090000+00:00,True,1.10041,1.09909,1.09964,"[{'ts': Timestamp('2024-08-16 14:00:30.887000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09964}]",2220,2024_08
BE,-0.2,1.10357,1.10357,2024-08-19 11:45:19.991000+00:00,2024-08-19 12:37:08.885000+00:00,True,1.10285,1.104578,1.103858,"[{'ts': Timestamp('2024-08-19 11:48:04.066000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.10387}]",2221,2024_08
BE,-0.2,1.1085,1.1085,2024-08-20 12:21:08.681000+00:00,2024-08-20 12:30:14.013000+00:00,True,1.10775,1.10955,1.1088,"[{'ts': Timestamp('2024-08-20 12:24:31.591000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.1088}]",2222,2024_08
TIME_EXIT,0.712790697674331,1.11301,1.11458,2024-08-21 15:24:12.273000+00:00,2024-08-21 16:24:02.572000+00:00,True,1.11129,1.115418,1.113698,"[{'ts': Timestamp('2024-08-21 15:25:55.977000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.11372}]",2223,2024_08
BE,-0.2,1.11337,1.11337,2024-08-22 12:42:08.719000+00:00,2024-08-22 13:14:02.275000+00:00,True,1.1121,1.115148,1.113878,"[{'ts': Timestamp('2024-08-22 12:50:39.521000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.11389}]",2224,2024_08
TP,1.2,1.11093,1.111602,2024-08-23 13:57:19.464000+00:00,2024-08-23 14:00:02.643000+00:00,True,1.11045,1.111602,1.111122,"[{'ts': Timestamp('2024-08-23 13:58:11.378000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.11114}]",2225,2024_08
BE,-0.2,1.11646,1.11646,2024-08-26 12:30:06.315000+00:00,2024-08-26 12:47:59.548000+00:00,True,1.11753,1.114962,1.116032,"[{'ts': Timestamp('2024-08-26 12:32:09.134000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.11602}]",2226,2024_08
BE,-0.2,1.11638,1.11638,2024-08-27 11:57:11.203000+00:00,2024-08-27 12:04:13.603000+00:00,True,1.1174,1.114952,1.115972,"[{'ts': Timestamp('2024-08-27 12:02:24.302000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.11597}]",2227,2024_08
