config_id,phase,slippage,net_r
V49_7_0012,TRAIN,0.3,-1.2105
V49_7_0012,TRAIN,0.5,-1.2632
V49_7_0013,TRAIN,0.2,-1.4375
V49_7_0013,TRAIN,0.3,-1.5
V49_7_0013,TRAIN,0.5,-1.625
V49_7_0015,TRAIN,0.2,-1.1842
V49_7_0015,TRAIN,0.3,-1.2105
V49_7_0015,TRAIN,0.5,-1.2632
V49_7_0016,TRAIN,0.2,-1.1842
V49_7_0016,TRAIN,0.3,-1.2105
V49_7_0016,TRAIN,0.5,-1.2632
V49_7_0021,TRAIN,0.2,-1.1842
V49_7_0021,TRAIN,0.3,-1.2105
V49_7_0021,TRAIN,0.5,-1.2632
V49_7_0022,TRAIN,0.2,-1.1842
V49_7_0022,TRAIN,0.3,-1.2105
V49_7_0022,TRAIN,0.5,-1.2632
V49_7_0023,TRAIN,0.2,-2.1667
V49_7_0023,TRAIN,0.3,-2.3333
V49_7_0023,TRAIN,0.5,-2.6667
V49_7_0024,TRAIN,0.2,-1.1842
V49_7_0024,TRAIN,0.3,-1.2105
V49_7_0024,TRAIN,0.5,-1.2632
V49_7_0026,TRAIN,0.2,-2.1667
V49_7_0026,TRAIN,0.3,-2.3333
V49_7_0026,TRAIN,0.5,-2.6667
V49_7_0027,TRAIN,0.2,-1.4375
V49_7_0027,TRAIN,0.3,-1.5
V49_7_0027,TRAIN,0.5,-1.625
V49_7_0032,TRAIN,0.2,-2.1667
V49_7_0032,TRAIN,0.3,-2.3333
V49_7_0032,TRAIN,0.5,-2.6667
V49_7_0043,TRAIN,0.2,-1.2456
V49_7_0043,TRAIN,0.3,-1.2807
V49_7_0043,TRAIN,0.5,-1.3509
V49_7_0044,TRAIN,0.2,-1.875
V49_7_0044,TRAIN,0.3,-2.0
V49_7_0044,TRAIN,0.5,-2.25
V49_7_0045,TRAIN,0.2,-1.875
V49_7_0045,TRAIN,0.3,-2.0
V49_7_0045,TRAIN,0.5,-2.25
V49_7_0046,TRAIN,0.2,-1.4375
V49_7_0046,TRAIN,0.3,-1.5
V49_7_0046,TRAIN,0.5,-1.625
V49_7_0048,TRAIN,0.2,-1.875
V49_7_0048,TRAIN,0.3,-2.0
V49_7_0048,TRAIN,0.5,-2.25
V49_7_0052,TRAIN,0.2,-1.875
V49_7_0052,TRAIN,0.3,-2.0
V49_7_0052,TRAIN,0.5,-2.25
V49_7_0053,TRAIN,0.2,-2.1667
V49_7_0053,TRAIN,0.3,-2.3333
V49_7_0053,TRAIN,0.5,-2.6667
V49_7_0054,TRAIN,0.2,-1.875
V49_7_0054,TRAIN,0.3,-2.0
V49_7_0054,TRAIN,0.5,-2.25
V49_7_0056,TRAIN,0.2,-1.2456
V49_7_0056,TRAIN,0.3,-1.2807
V49_7_0056,TRAIN,0.5,-1.3509
V49_7_0057,TRAIN,0.2,-1.4375
V49_7_0057,TRAIN,0.3,-1.5
