config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0374,81,0.63,0,0.0,-26.48
V49_7B_0375,71,0.63,0,0.0,-21.33
V49_7B_0376,69,0.61,0,0.0,-24.49
V49_7B_0377,38,0.57,0,0.0,-12.69
V49_7B_0378,47,0.81,0,0.0,-7.3
V49_7B_0379,90,0.77,0,0.0,-15.37
V49_7B_0380,40,0.93,0,0.0,-2.11
V49_7B_0381,114,0.61,0,0.0,-34.16
V49_7B_0382,24,0.48,0,0.0,-11.44
V49_7B_0383,61,0.63,0,0.0,-17.07
V49_7B_0384,48,0.8,0,0.0,-7.68
V49_7B_0385,24,0.39,0,0.0,-12.35
V49_7B_0386,59,0.48,0,0.0,-27.36
V49_7B_0387,41,1.03,0,0.0,0.82
V49_7B_0388,23,0.54,0,0.0,-8.24
V49_7B_0389,31,0.41,0,0.0,-17.51
V49_7B_0390,48,0.83,0,0.0,-6.13
V49_7B_0391,50,0.53,0,0.0,-18.47
V49_7B_0392,28,0.68,0,0.0,-6.61
V49_7B_0393,32,0.77,0,0.0,-5.81
V49_7B_0394,54,0.62,0,0.0,-15.43
V49_7B_0395,34,0.73,0,0.0,-8.1
V49_7B_0396,44,0.67,0,0.0,-12.92
V49_7B_0397,91,0.59,0,0.0,-28.27
V49_7B_0398,22,0.72,0,0.0,-5.01
V49_7B_0399,25,0.5,0,0.0,-9.62
V49_7B_0400,54,0.76,0,0.0,-9.93
V49_7B_0401,35,0.56,0,0.0,-12.23
V49_7B_0402,70,0.7,0,0.0,-16.6
V49_7B_0403,114,0.63,0,0.0,-34.51
V49_7B_0404,44,0.78,0,0.0,-6.5
V49_7B_0405,41,1.03,0,0.0,0.9
V49_7B_0406,59,0.66,0,0.0,-16.24
V49_7B_0407,33,0.75,0,0.0,-6.55
V49_7B_0408,38,0.48,0,0.0,-17.89
V49_7B_0409,54,0.71,0,0.0,-12.2
V49_7B_0410,50,0.63,0,0.0,-15.54
V49_7B_0411,69,0.63,0,0.0,-21.89
V49_7B_0412,41,0.97,0,0.0,-0.85
V49_7B_0413,56,0.48,0,0.0,-24.42
V49_7B_0414,54,0.86,0,0.0,-5.91
V49_7B_0415,51,0.72,0,0.0,-12.22
V49_7B_0416,31,0.61,0,0.0,-9.19
V49_7B_0417,28,0.74,0,0.0,-5.31
V49_7B_0418,57,0.59,0,0.0,-17.63
V49_7B_0419,26,0.94,0,0.0,-1.34
V49_7B_0420,49,0.57,0,0.0,-16.21
V49_7B_0421,56,0.62,0,0.0,-15.75
V49_7B_0422,28,0.72,0,0.0,-6.0
V49_7B_0423,80,0.58,0,0.0,-28.06
V49_7B_0424,41,0.76,0,0.0,-7.74
V49_7B_0425,54,0.46,0,0.0,-23.82
V49_7B_0426,78,0.58,0,0.0,-27.86
V49_7B_0427,88,0.7,0,0.0,-21.25
V49_7B_0428,54,0.86,0,0.0,-5.62
V49_7B_0429,92,0.56,0,0.0,-31.55
V49_7B_0430,55,0.57,0,0.0,-18.01
V49_7B_0431,99,0.77,0,0.0,-18.29
V49_7B_0432,77,0.59,0,0.0,-28.14
V49_7B_0433,38,0.41,0,0.0,-20.12
V49_7B_0434,87,0.54,0,0.0,-34.92
V49_7B_0435,35,0.96,0,0.0,-1.01
V49_7B_0436,37,0.55,0,0.0,-13.98
V49_7B_0437,25,0.47,0,0.0,-11.9
V49_7B_0438,46,0.56,0,0.0,-15.44
V49_7B_0439,41,0.63,0,0.0,-11.42
V49_7B_0440,59,0.61,0,0.0,-17.05
V49_7B_0441,43,0.61,0,0.0,-13.81
V49_7B_0442,91,0.73,0,0.0,-20.27
V49_7B_0443,41,0.54,0,0.0,-14.6
V49_7B_0444,44,0.6,0,0.0,-13.23
V49_7B_0445,103,0.64,0,0.0,-29.34
V49_7B_0446,57,0.64,0,0.0,-16.34
V49_7B_0447,41,0.71,0,0.0,-9.33
V49_7B_0448,58,0.44,0,0.0,-31.25
