pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason
USDJPY,short,2020-06-12 13:55:00-04:00,2020-06-12 14:20:00-04:00,107.45049999999999,107.50701792972048,1129000,-593.5862643090276,-638.7462643090277,-1.1468083140593563,45.160000000000004,stop_loss
GBPUSD,short,2020-06-15 11:20:00-04:00,2020-06-15 13:55:00-04:00,1.25541,1.2569155134956875,376000,-566.0730743785437,-584.9657622400312,-1.061580129105268,18.892687861487573,stop_loss
EURUSD,short,2020-06-17 14:05:00-04:00,2020-06-17 16:00:00-04:00,1.12338,1.1238613266857598,1214000,-584.3305965123134,-638.8936159242436,-1.1660544986555108,54.563019411930256,stop_loss
GBPUSD,short,2020-06-17 17:05:00-04:00,2020-06-17 17:10:00-04:00,1.2535859999999999,1.2542382795406342,923000,-602.0540160054524,-648.3484522057724,-1.1940514291348694,46.294436200320106,stop_loss
USDJPY,short,2020-06-18 13:50:00-04:00,2020-06-18 16:00:00-04:00,106.8755,106.9175425540751,1435000,-563.6626221365364,-621.0626221365364,-1.2003517176984217,57.400000000000006,stop_loss
GBPUSD,short,2020-06-18 16:50:00-04:00,2020-06-18 18:45:00-04:00,1.242136,1.2420900000000001,1057000,48.621999999755246,-3.89453764024476,-0.007296439538727611,52.51653764000001,session_close
GBPUSD,short,2020-06-22 12:20:00-04:00,2020-06-22 12:30:00-04:00,1.2444899999999999,1.2454734566054346,565000,-555.6529820706346,-583.7895691302759,-1.0951811335199377,28.136587059641414,stop_loss
EURUSD,long,2020-06-23 13:30:00-04:00,2020-06-23 14:10:00-04:00,1.1317,1.1311510513444125,1020000,-559.9276286991594,-606.0897901465854,-1.1450182406613496,46.162161447426016,stop_loss
USDJPY,short,2020-06-23 14:50:00-04:00,2020-06-23 15:15:00-04:00,106.4915,106.53116823425444,1399000,-520.980264376888,-576.9402643768881,-1.2142351794892263,55.96000000000001,stop_loss
USDJPY,short,2020-06-24 12:20:00-04:00,2020-06-24 13:35:00-04:00,106.8335,106.89652946412458,941000,-554.7672900003945,-592.4072900003946,-1.129976104522853,37.64,stop_loss
EURUSD,long,2020-06-24 11:55:00-04:00,2020-06-24 14:00:00-04:00,1.1271499999999999,1.1263003612298956,635000,-539.5206190161949,-568.1394386038146,-1.0915879164854814,28.618819587619676,stop_loss
EURUSD,short,2020-06-25 13:05:00-04:00,2020-06-25 14:25:00-04:00,1.12256,1.1217486631504034,1094000,887.6025134586318,838.497039908901,1.6397846095318294,49.10547354973083,take_profit
GBPUSD,short,2020-06-25 15:40:00-04:00,2020-06-25 15:50:00-04:00,1.24128,1.2418708016385074,940000,-555.3535401969966,-602.0367752678005,-1.1627864003378503,46.683235070803946,stop_loss
GBPUSD,short,2020-06-26 13:50:00-04:00,2020-06-26 16:40:00-04:00,1.2346599999999999,1.2334020470515206,712000,895.6624993172628,860.5172957672493,1.6760739101655997,35.14520355001365,take_profit
USDJPY,long,2020-06-26 16:35:00-04:00,2020-06-26 17:00:00-04:00,107.18950000000001,107.2212732084946,1385000,410.38789298703335,354.9878929870334,1.3338969121328417,55.400000000000006,take_profit
