timestamp,currency,importance,event,country,source,hard_event,event_tier
2020-06-19 12:00:00-04:00,USD,1,FOMC Member Quarles Speaks,,csv,True,hard
2020-06-19 13:00:00-04:00,USD,2,Fed Chair Powell Speaks,,csv,True,hard
2020-06-22 15:30:00-04:00,USD,1,Flash Services PMI,,csv,True,hard
2020-06-23 09:45:00-04:00,USD,2,Flash Manufacturing PMI,,csv,True,hard
2020-06-24 15:30:00-04:00,USD,2,Final GDP q/q,,csv,True,hard
2020-06-25 08:32:00-04:00,USD,1,Final GDP Price Index q/q,,csv,True,hard
2020-06-30 02:30:00-04:00,CHF,1,Retail Sales y/y,,csv,True,hard
2020-06-30 09:45:00-04:00,USD,2,Chicago PMI,,csv,True,hard
2020-06-30 11:00:00-04:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-06-30 11:05:00-04:00,USD,1,FOMC Member Brainard Speaks,,csv,True,hard
2020-06-30 12:30:00-04:00,USD,3,Fed Chair Powell Testifies,,csv,True,hard
2020-06-30 14:00:00-04:00,USD,1,FOMC Member Kashkari Speaks,,csv,True,hard
2020-07-01 03:30:00-04:00,CHF,1,Manufacturing PMI,,csv,True,hard
2020-07-01 08:15:00-04:00,USD,3,ADP Non-Farm Employment Change,,csv,True,hard
2020-07-01 09:45:00-04:00,USD,1,Final Manufacturing PMI,,csv,True,hard
2020-07-01 10:00:00-04:00,USD,2,ISM Manufacturing PMI,,csv,True,hard
2020-07-01 14:00:00-04:00,USD,2,FOMC Meeting Minutes,,csv,True,hard
2020-07-01 15:30:00-04:00,USD,3,Unemployment Rate,,csv,True,hard
2020-07-01 15:30:00-04:00,USD,3,Non-Farm Employment Change,,csv,True,hard
2020-07-01 15:30:00-04:00,USD,3,Average Hourly Earnings m/m,,csv,False,standard
2020-07-01 15:30:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-07-02 02:30:00-04:00,CHF,1,CPI m/m,,csv,True,hard
2020-07-06 09:45:00-04:00,USD,1,Final Services PMI,,csv,True,hard
2020-07-06 10:00:00-04:00,USD,3,ISM Services PMI,,csv,True,hard
2020-07-07 13:00:00-04:00,USD,1,FOMC Member Quarles Speaks,,csv,True,hard
2020-07-08 01:45:00-04:00,CHF,1,Unemployment Rate,,csv,True,hard
